Accession	Gene	protein_logFC	protein_padj	gene_logFC	gene_padj	Groups
Q9UHB4	NDOR1	-0.9733	0.0124	0.2666	0.0135	Up transcriptome/Down proteome
Q01433	AMPD2	0.2324	0.0124	0.4859	0.002	Up/Up
Q86TM6	SYVN1	-0.5087	0.0124	0.1736	0.0132	Up transcriptome/Down proteome
P35613	BSG	0.2247	0.0126	0.1792	0.0253	Up/Up
P98155	VLDLR	0.4137	0.0127	-0.6789	0	Down transcriptome/Up proteome
Q15746	MYLK	0.2504	0.0127	0.986	0	Up/Up
Q15366	PCBP2	-0.3465	0.0127	0.2064	0	Up transcriptome/Down proteome
Q9H330	TMEM245	-0.4225	0.0127	-0.795	0	Down/Down
Q71F23	CENPU	-0.7979	0.0128	0.4043	4e-4	Up transcriptome/Down proteome
Q8IUH4	ZDHHC13	-0.405	0.0128	-0.7546	0	Down/Down
Q1ED39	KNOP1	-0.983	0.0128	-0.4112	0	Down/Down
Q9HAN9	NMNAT1	0.325	0.0129	-0.9189	0	Down transcriptome/Up proteome
Q16836	HADH	-0.3706	0.0129	-0.5498	0	Down/Down
Q9Y5U8	MPC1	-0.3618	0.0129	-0.7518	0.001	Down/Down
Q9UL63	MKLN1	-0.3743	0.0129	0.5451	0	Up transcriptome/Down proteome
Q8N4X5	AFAP1L2	0.44	0.013	0.536	2e-4	Up/Up
P48643	CCT5	-0.1557	0.013	0.4372	0	Up transcriptome/Down proteome
P67812	SEC11A	0.2977	0.0131	-0.4625	0	Down transcriptome/Up proteome
Q04743	EMX2	-0.6469	0.0131	-1.0155	0	Down/Down
Q8TD55	PLEKHO2	-1.2479	0.0132	0.7094	0	Up transcriptome/Down proteome
P16949	STMN1	0.2404	0.0132	-0.3948	7e-4	Down transcriptome/Up proteome
Q15070	OXA1L	-0.3902	0.0133	-0.1427	0.0186	Down/Down
Q5JTH9	RRP12	-0.2617	0.0133	0.9683	0	Up transcriptome/Down proteome
Q96NT0	CCDC115	0.5497	0.0133	-0.578	0.0014	Down transcriptome/Up proteome
P41271	NBL1	0.6257	0.0133	0.4113	0	Up/Up
P22692	IGFBP4	0.6882	0.0133	0.1561	0.0137	Up/Up
Q9BTE3	MCMBP	-0.2765	0.0133	0.5366	0	Up transcriptome/Down proteome
P53677	AP3M2	-0.4163	0.0134	-0.2549	0.0332	Down/Down
Q8N3A8	PARP8	-0.6068	0.0135	-0.43120000000000003	0.0021	Down/Down
Q15397	PUM3	-0.3157	0.0137	0.5664	0	Up transcriptome/Down proteome
P61224	RAP1B	-0.1664	0.0137	-0.3207	9e-4	Down/Down
O76024	WFS1	0.3449	0.0138	0.4654	1e-4	Up/Up
P10636	MAPT	2.4418	0.0138	-1.2967	0	Down transcriptome/Up proteome
O43291	SPINT2	-0.3211	0.0138	0.2292	0.0094	Up transcriptome/Down proteome
Q13409	DYNC1I2	0.2445	0.0138	-0.4461	0	Down transcriptome/Up proteome
Q00765	REEP5	-0.2077	0.0138	-0.671	0	Down/Down
Q9H089	LSG1	-0.2517	0.0139	0.2563	1e-4	Up transcriptome/Down proteome
Q8TCG1	CIP2A	-0.1698	0.0139	0.8076	0	Up transcriptome/Down proteome
Q8IXJ9	ASXL1	-1.895	0.0139	0.5659	0	Up transcriptome/Down proteome
Q9NW08	POLR3B	-0.7914	0.014	-0.8814	0	Down/Down
Q8WVJ2	NUDCD2	-0.472	0.014	-1.1385	0	Down/Down
P29320	EPHA3	-0.4305	0.0141	-1.1447	0	Down/Down
Q9UKV5	AMFR	0.3281	0.0141	0.2544	0.0105	Up/Up
Q9H6R3	ACSS3	-0.5727	0.0141	-1.5508	0	Down/Down
Q8IWA0	WDR75	-0.5603	0.0141	0.2485	0.009	Up transcriptome/Down proteome
Q9BYD6	MRPL1	0.1986	0.0142	-0.4686	0.0143	Down transcriptome/Up proteome
P51116	FXR2	-0.4907	0.0143	0.6471	0	Up transcriptome/Down proteome
Q9H0N5	PCBD2	-0.3328	0.0143	-0.7718	0.0367	Down/Down
Q13177	PAK2	0.1941	0.0144	0.5469	0	Up/Up
O60504	SORBS3	0.35	0.0144	0.6	0	Up/Up
Q15758	SLC1A5	-0.3696	0.0144	-0.1793	0.0064	Down/Down
Q99442	SEC62	0.2061	0.0144	-0.4408	0.0016	Down transcriptome/Up proteome
P10620	MGST1	0.2132	0.0144	-0.3071	1e-4	Down transcriptome/Up proteome
Q14690	PDCD11	0.3455	0.0147	0.5817	0	Up/Up
Q8NEM2	SHCBP1	-0.5971	0.0147	0.8024	0	Up transcriptome/Down proteome
Q9Y3T9	NOC2L	0.3068	0.0147	0.6484	0	Up/Up
Q9UJK0	TSR3	-0.45	0.0147	0.4357	0.0019	Up transcriptome/Down proteome
P11216	PYGB	0.1741	0.0147	0.3377	0	Up/Up
Q5VTR2	RNF20	-0.2111	0.0148	-0.376	0	Down/Down
Q9BT40	INPP5K	0.4348	0.0149	0.1829	0.0426	Up/Up
Q9HBM1	SPC25	-0.6883	0.0149	-0.8464	0	Down/Down
P11234	RALB	0.3781	0.015	0.3723	3e-4	Up/Up
Q53QV2	LBH	-0.4018	0.0151	-0.9292	0	Down/Down
O15069	NACAD	0.5804	0.0151	0.9214	0	Up/Up
P54725	RAD23A	0.2413	0.0152	0.2274	0.0033	Up/Up
Q9GZX9	TWSG1	-0.5385	0.0154	-0.3506	0	Down/Down
Q99643	SDHC	0.6374	0.0154	-0.3973	0.0022	Down transcriptome/Up proteome
Q86VP6	CAND1	-0.2437	0.0156	-0.3463	2e-4	Down/Down
Q8IY17	PNPLA6	0.5901	0.0157	0.4412	3e-4	Up/Up
Q96S53	TESK2	-0.3927	0.0157	-0.5884	8e-4	Down/Down
Q8IVJ1	SLC41A1	1.1142	0.0159	0.9155	0	Up/Up
P23526	AHCY	0.1477	0.0159	0.4217	0	Up/Up
Q6EMK4	VASN	1.4895	0.0162	-0.5381	0	Down transcriptome/Up proteome
Q8WUA8	TSKU	0.6199	0.0163	0.2326	0	Up/Up
Q5VUA4	ZNF318	-0.6671	0.0163	-0.3341	0.0129	Down/Down
P61019	RAB2A	0.1813	0.0163	0.5144	0	Up/Up
P52597	HNRNPF	0.3301	0.0164	0.286	0	Up/Up
Q9NP81	SARS2	-0.1718	0.0164	-0.3217	0.0075	Down/Down
Q15654	TRIP6	-0.4942	0.0165	-0.4277	0.0014	Down/Down
Q8TBQ9	TMEM167A	-0.303	0.0165	-0.5779	0	Down/Down
Q96A83	COL26A1	-1.6662	0.0165	-1.9772	0	Down/Down
Q9P0V9	SEPTIN10	-0.6609	0.0165	0.3901	0	Up transcriptome/Down proteome
Q15005	SPCS2	-0.1917	0.0166	-0.4249	0	Down/Down
Q13332	PTPRS	-0.519	0.0166	-0.7561	0	Down/Down
P02462	COL4A1	-0.9634	0.0166	-0.2663	0.0091	Down/Down
O94855	SEC24D	-0.4246	0.0166	-1.0098	0	Down/Down
P09341	CXCL1	-2.0162	0.0167	-1.011	0	Down/Down
O94915	FRYL	0.357	0.0168	0.678	3e-4	Up/Up
Q9NVA1	UQCC1	-0.6753	0.0168	-0.2828	0.0378	Down/Down
P19256	CD58	-1.0045	0.0169	-0.4415	0.0028	Down/Down
O15514	POLR2D	-0.8046	0.0169	0.7492	0	Up transcriptome/Down proteome
Q8NEZ5	FBXO22	0.5215	0.0169	-0.3878	0.0411	Down transcriptome/Up proteome
Q8N6R0	METTL13	-0.1901	0.017	0.3514	2e-4	Up transcriptome/Down proteome
O15213	WDR46	-1.7349	0.0172	0.6183	0	Up transcriptome/Down proteome
P35998	PSMC2	-0.1651	0.0173	-0.5432	0	Down/Down
P61165	TMEM258	0.4631	0.0173	-0.3433	7e-4	Down transcriptome/Up proteome
Q9BWS9	CHID1	0.3533	0.0173	0.276	0.0165	Up/Up
Q8TAE6	PPP1R14C	-0.3576	0.0175	-0.5047	0	Down/Down
P18031	PTPN1	0.2507	0.0175	0.6394	0	Up/Up
Q9NP61	ARFGAP3	0.4331	0.0175	-0.6489	0	Down transcriptome/Up proteome
P30050	RPL12	-0.2045	0.0175	-0.6383	0	Down/Down
P12830	CDH1	0.361	0.0176	-1.0075	0	Down transcriptome/Up proteome
P98194	ATP2C1	0.394	0.0177	0.6397	0	Up/Up
Q587I9	SFT2D3	-0.9727	0.0177	-0.3153	0.0451	Down/Down
Q9HB40	SCPEP1	-0.3306	0.0177	-0.9956	0	Down/Down
O60906	SMPD2	1.2614	0.0178	0.6771	0	Up/Up
Q8N6N7	ACBD7	-0.7606	0.0179	-1.4516	0	Down/Down
P11388	TOP2A	-0.5898	0.0179	-0.26	0.0102	Down/Down
A0A0U1RRE5	NBDY	0.4403	0.0179	-0.8511	0.0016	Down transcriptome/Up proteome
Q9UN70	PCDHGC3	1.1157	0.0179	0.7604	0	Up/Up
Q9NR30	DDX21	-0.3262	0.018	0.3431	0	Up transcriptome/Down proteome
Q93096	PTP4A1	-0.4192	0.018	0.3205	0	Up transcriptome/Down proteome
P30153	PPP2R1A	0.2066	0.018	0.545	0	Up/Up
Q8IXB1	DNAJC10	-0.5665	0.018	-1.1778	0	Down/Down
Q92994	BRF1	-0.67	0.018	0.7513	0	Up transcriptome/Down proteome
Q99961	SH3GL1	0.2402	0.0181	1.0634	0	Up/Up
O00213	APBB1	0.3983	0.0182	0.645	0	Up/Up
Q14161	GIT2	-0.4404	0.0182	-0.6505	0	Down/Down
P53597	SUCLG1	0.3128	0.0182	-0.3153	0	Down transcriptome/Up proteome
Q9NZN8	CNOT2	-0.5847	0.0183	-0.2712	0.0194	Down/Down
Q9H5K3	POMK	-0.3584	0.0184	1.8529	0.0175	Up transcriptome/Down proteome
Q15291	RBBP5	-0.5475	0.0185	0.2654	0.0166	Up transcriptome/Down proteome
P20936	RASA1	0.6058	0.0186	0.4972	1e-4	Up/Up
P42858	HTT	0.2301	0.0187	0.4178	2e-4	Up/Up
P12004	PCNA	0.1732	0.0188	0.4595	0	Up/Up
P37840	SNCA	-0.5271	0.019	-1.0801	0	Down/Down
Q9UKK6	NXT1	-0.5063	0.019	0.7462	0	Up transcriptome/Down proteome
P15924	DSP	-0.165	0.0191	0.3441	0.002	Up transcriptome/Down proteome
Q9NRG0	CHRAC1	0.5152	0.0191	0.7463	0	Up/Up
P15927	RPA2	0.2157	0.0191	0.3958	2e-4	Up/Up
Q14254	FLOT2	0.2349	0.0192	-0.4139	2e-4	Down transcriptome/Up proteome
Q5TGY3	AHDC1	-0.5999	0.0193	-0.9485	1e-4	Down/Down
Q15436	SEC23A	0.272	0.0195	-0.5893	1e-4	Down transcriptome/Up proteome
Q92845	KIFAP3	-0.6384	0.0197	-0.7117	0	Down/Down
P49354	FNTA	-0.4544	0.0197	-0.3541	0.0021	Down/Down
Q14139	UBE4A	0.3384	0.0198	0.294	0.0365	Up/Up
Q96A65	EXOC4	-0.1948	0.0198	-0.9105	0	Down/Down
O60885	BRD4	-0.3672	0.0198	0.7073	0	Up transcriptome/Down proteome
Q9NWX6	THG1L	-1.0077	0.0199	-0.6445	1e-4	Down/Down
Q8IU60	DCP2	-1.876	0.02	-0.8534	0.0075	Down/Down
P61313	RPL15	-0.1933	0.0201	-0.3449	0	Down/Down
Q9UBF8	PI4KB	-0.3567	0.0201	0.3937	5e-4	Up transcriptome/Down proteome
Q13347	EIF3I	-0.1418	0.0202	0.3695	0	Up transcriptome/Down proteome
Q04637	EIF4G1	-0.1588	0.0202	0.5888	0	Up transcriptome/Down proteome
O14974	PPP1R12A	-0.3131	0.0202	-0.815	0	Down/Down
O14763	TNFRSF10B	0.3258	0.0204	0.5758	0	Up/Up
Q6P1A2	LPCAT3	-0.4368	0.0204	0.3038	0.0165	Up transcriptome/Down proteome
P21397	MAOA	-0.5537	0.0205	-2.7254	0	Down/Down
Q9UHN6	CEMIP2	-0.2163	0.0206	0.3755	0.0216	Up transcriptome/Down proteome
P49789	FHIT	0.7173	0.0206	-0.8021	0.0075	Down transcriptome/Up proteome
P28370	SMARCA1	0.2851	0.0206	-0.4016	0	Down transcriptome/Up proteome
P21333	FLNA	-0.1558	0.0206	0.8194	0	Up transcriptome/Down proteome
Q8NE63	HIPK4	-0.2368	0.0206	-1.7349	0.0229	Down/Down
Q13938	CAPS	-0.3007	0.0206	-1.2825	0	Down/Down
Q07954	LRP1	-0.5517	0.0207	-1.2516	0	Down/Down
Q6UW63	POGLUT2	-0.9136	0.0208	-0.9424	1e-4	Down/Down
Q92539	LPIN2	1.4232	0.0208	-0.5663	0	Down transcriptome/Up proteome
Q96HP0	DOCK6	0.9805	0.0208	0.7287	0	Up/Up
Q9H000	MKRN2	-0.6879	0.0208	-0.2788	9e-4	Down/Down
Q969G6	RFK	0.261	0.0209	0.2379	0.0144	Up/Up
Q9BXK1	KLF16	-0.5095	0.0209	0.9199	0.0443	Up transcriptome/Down proteome
Q96QE5	TEFM	-0.6484	0.021	-0.6774	0.0019	Down/Down
P48449	LSS	-0.2961	0.0212	-0.2132	0.0305	Down/Down
Q8IUF8	RIOX2	-0.3256	0.0212	0.2921	0.037	Up transcriptome/Down proteome
P51991	HNRNPA3	-0.351	0.0213	-0.4289	0	Down/Down
O94830	DDHD2	0.3431	0.0213	-0.4666	0.0365	Down transcriptome/Up proteome
Q9NZB8	MOCS1	0.2435	0.0214	0.6593	0	Up/Up
Q5VV42	CDKAL1	1.2906	0.0215	0.4953	9e-4	Up/Up
Q13509	TUBB3	0.3621	0.0215	1.2693	0	Up/Up
Q96F45	ZNF503	1.088	0.0215	0.5323	0	Up/Up
Q9UKD1	GMEB2	-0.3295	0.0216	0.7918	0	Up transcriptome/Down proteome
P26640	VARS1	-0.1538	0.0216	0.5086	0	Up transcriptome/Down proteome
Q92569	PIK3R3	-0.3958	0.0216	-0.3394	0	Down/Down
P46782	RPS5	-0.1901	0.0216	0.3512	6e-4	Up transcriptome/Down proteome
O43390	HNRNPR	-0.3067	0.0216	-0.435	0	Down/Down
Q9Y613	FHOD1	0.4918	0.0219	0.854	0	Up/Up
Q8N531	FBXL6	-0.485	0.0219	0.9037	0	Up transcriptome/Down proteome
Q6F5E8	CARMIL2	0.5228	0.0219	0.6873	0	Up/Up
Q7L1W4	LRRC8D	-0.4622	0.0221	-0.4902	0	Down/Down
Q92552	MRPS27	-0.3248	0.0221	-0.6044	2e-4	Down/Down
Q12906	ILF3	-0.264	0.0221	0.173	0.046	Up transcriptome/Down proteome
Q9C0B5	ZDHHC5	1.16	0.0222	0.4767	0	Up/Up
O43422	THAP12	-0.5017	0.0222	-0.2894	3e-4	Down/Down
Q13884	SNTB1	0.5621	0.0222	-0.922	0	Down transcriptome/Up proteome
P49790	NUP153	-0.3045	0.0222	0.6048	0	Up transcriptome/Down proteome
Q16795	NDUFA9	-0.2652	0.0222	-0.3958	0	Down/Down
A8MT69	CENPX	-0.5098	0.0224	0.7993	0	Up transcriptome/Down proteome
Q14966	ZNF638	-0.1977	0.0224	-0.2388	0.0426	Down/Down
O00767	SCD	-2.0498	0.0224	-2.24	0	Down/Down
Q71UI9	H2AZ2	-0.5084	0.0225	-0.5175	3e-4	Down/Down
Q9ULE3	DENND2A	-1.2143	0.0226	-1.3814	0	Down/Down
Q15058	KIF14	-0.7075	0.0226	-0.8315	0.0013	Down/Down
P48059	LIMS1	0.2106	0.0226	1.0158	0	Up/Up
Q9BTV4	TMEM43	0.2013	0.0226	0.469	0	Up/Up
O95782	AP2A1	-0.1415	0.0227	0.8451	0	Up transcriptome/Down proteome
P10398	ARAF	-2.6912	0.0227	0.6431	0	Up transcriptome/Down proteome
Q9Y3I1	FBXO7	0.3569	0.0227	0.1348	0.0207	Up/Up
Q14680	MELK	-0.7612	0.0227	0.593	0	Up transcriptome/Down proteome
P04040	CAT	0.1606	0.0227	-0.4014	0	Down transcriptome/Up proteome
Q7L5N1	COPS6	0.1801	0.0228	-0.544	0	Down transcriptome/Up proteome
P62805	H4C1	-0.7632	0.0229	-1.0184	0.0027	Down/Down
Q9NPF0	CD320	-0.4735	0.0229	0.444	1e-4	Up transcriptome/Down proteome
Q9Y375	NDUFAF1	0.3683	0.023	-0.4928	0.0441	Down transcriptome/Up proteome
P62837	UBE2D2	-0.2223	0.023	-0.4658	0	Down/Down
O60462	NRP2	0.6761	0.0231	1.6016	0	Up/Up
Q9UHA3	RSL24D1	-0.789	0.0233	-0.4713	0	Down/Down
O15037	KHNYN	-0.9749	0.0233	0.2678	0.014	Up transcriptome/Down proteome
Q9P2B2	PTGFRN	-0.2189	0.0233	-0.3217	1e-4	Down/Down
P11274	BCR	-0.3381	0.0234	0.4088	0	Up transcriptome/Down proteome
Q9H6F5	CCDC86	-1.7429	0.0234	0.9077	0	Up transcriptome/Down proteome
P23919	DTYMK	0.1741	0.0235	0.4044	0.012	Up/Up
Q9NZ09	UBAP1	0.2948	0.0235	0.608	0	Up/Up
Q8N8J7	FAM241A	0.6035	0.0235	0.9613	0	Up/Up
Q9H0F7	ARL6	-0.3646	0.0236	-0.628	0.012	Down/Down
Q7L2H7	EIF3M	-0.258	0.0236	-0.2377	4e-4	Down/Down
Q9ULC4	MCTS1	-0.2083	0.0237	-0.3795	0.0013	Down/Down
Q8NCC5	SLC37A3	-0.4799	0.0238	-0.4586	0.0102	Down/Down
Q96DF8	ESS2	-0.8983	0.0239	0.7105	0	Up transcriptome/Down proteome
P42126	ECI1	0.1938	0.0239	-0.4958	0	Down transcriptome/Up proteome
Q86TP1	PRUNE1	-0.2733	0.0239	-0.396	0	Down/Down
O76062	TM7SF2	0.4	0.0239	-0.2996	0	Down transcriptome/Up proteome
Q9ULH1	ASAP1	0.479	0.024	1.0493	0	Up/Up
Q3KQU3	MAP7D1	0.3615	0.0242	0.9388	0	Up/Up
Q12824	SMARCB1	-0.3394	0.0242	0.4087	0	Up transcriptome/Down proteome
Q9NUU7	DDX19A	0.2258	0.0243	0.4959	0.001	Up/Up
P19388	POLR2E	0.2205	0.0244	0.9429	0	Up/Up
Q9UNM6	PSMD13	0.1874	0.0246	0.2588	0.0214	Up/Up
Q9H6R0	DHX33	-0.6987	0.0246	0.3544	0.0055	Up transcriptome/Down proteome
P02452	COL1A1	-0.624	0.0247	-0.4308	0	Down/Down
Q8ND90	PNMA1	-0.4574	0.0248	0.1281	0.0397	Up transcriptome/Down proteome
P57735	RAB25	-0.2222	0.025	-0.5147	0	Down/Down
Q5T2T1	MPP7	-2.7334	0.0251	1.3424	0	Up transcriptome/Down proteome
O00221	NFKBIE	2.5725	0.0251	2.6848	0	Up/Up
Q12893	TMEM115	-0.7471	0.0251	0.4062	0	Up transcriptome/Down proteome
P55084	HADHB	0.1251	0.0253	-0.6089	0	Down transcriptome/Up proteome
Q9UH62	ARMCX3	-0.3001	0.0254	-0.4941	1e-4	Down/Down
Q9UHD1	CHORDC1	0.1954	0.0254	0.7835	0	Up/Up
Q9UL40	ZNF346	-0.4973	0.0254	-0.6674	8e-4	Down/Down
Q9BRT6	LLPH	0.2903	0.0254	-0.5566	0	Down transcriptome/Up proteome
Q969E4	TCEAL3	0.5974	0.0254	-0.2951	0.0325	Down transcriptome/Up proteome
Q15007	WTAP	-0.3245	0.0255	0.5212	0	Up transcriptome/Down proteome
Q9NZD2	GLTP	-0.6149	0.0256	-0.4515	0	Down/Down
Q9BT09	CNPY3	0.202	0.0258	0.1919	0.0234	Up/Up
Q9NRZ7	AGPAT3	0.4604	0.0258	0.4985	0	Up/Up
P20042	EIF2S2	0.1427	0.0259	-0.167	0.031	Down transcriptome/Up proteome
Q9NVF7	FBXO28	-0.5164	0.0259	0.4245	1e-4	Up transcriptome/Down proteome
Q9UJA9	ENPP5	0.641	0.0259	-1.0271	0	Down transcriptome/Up proteome
P82650	MRPS22	-0.2361	0.026	0.5165	0	Up transcriptome/Down proteome
Q16774	GUK1	0.4264	0.026	0.8614	0	Up/Up
O75419	CDC45	-0.3858	0.0264	1.0649	0	Up transcriptome/Down proteome
Q96LT7	C9orf72	-0.5013	0.0265	-1.1477	0.0014	Down/Down
Q9UKA9	PTBP2	-1.0983	0.0269	0.6024	0.0117	Up transcriptome/Down proteome
P46734	MAP2K3	0.2242	0.0272	1.2403	0	Up/Up
Q8N1I0	DOCK4	-1.7104	0.0272	0.5005	0.0174	Up transcriptome/Down proteome
Q9H4I3	TRABD	0.5041	0.0272	0.6535	0	Up/Up
P20839	IMPDH1	0.456	0.0272	0.6088	0	Up/Up
O14618	CCS	-0.2573	0.0272	-0.455	0.0011	Down/Down
P55072	VCP	0.1331	0.0274	0.4862	0	Up/Up
P68036	UBE2L3	0.1892	0.0274	0.246	0	Up/Up
O95104	SCAF4	-0.6979	0.0276	0.5953	0	Up transcriptome/Down proteome
Q9BQ39	DDX50	-0.3363	0.0276	-0.26	0.0157	Down/Down
Q8IVL5	P3H2	-0.2433	0.0276	0.762	0	Up transcriptome/Down proteome
Q9Y4D2	DAGLA	0.4555	0.0276	1.2585	0	Up/Up
Q9BRT3	MIEN1	0.2968	0.0277	-0.4523	1e-4	Down transcriptome/Up proteome
P49593	PPM1F	0.3474	0.0277	0.8402	0	Up/Up
Q6NUQ4	TMEM214	0.2437	0.0277	0.5292	0	Up/Up
Q9H910	JPT2	0.224	0.0277	0.5439	0	Up/Up
Q96J02	ITCH	0.216	0.0277	0.6771	0	Up/Up
Q9Y679	AUP1	-0.245	0.0277	0.6592	0	Up transcriptome/Down proteome
Q9BRA2	TXNDC17	0.2746	0.0279	0.3623	0.0302	Up/Up
Q9NP84	TNFRSF12A	-0.5947	0.0279	1.132	0	Up transcriptome/Down proteome
O43251	RBFOX2	0.3915	0.028	0.2761	0.0037	Up/Up
Q02241	KIF23	-0.4443	0.0281	0.208	0.0056	Up transcriptome/Down proteome
A6NEE1	PLEKHD1	0.7048	0.0281	0.2888	0.0047	Up/Up
Q9NZJ4	SACS	-0.618	0.0281	0.7302	1e-4	Up transcriptome/Down proteome
Q6NXE6	ARMC6	0.3231	0.0283	0.6329	0	Up/Up
P40818	USP8	-0.2691	0.0283	-0.5407	0	Down/Down
Q9Y3L5	RAP2C	1.2682	0.0284	0.4948	0	Up/Up
P57721	PCBP3	0.4582	0.0284	-1.0896	9e-4	Down transcriptome/Up proteome
Q6PI78	TMEM65	0.6028	0.0285	0.2666	0.0258	Up/Up
P06733	ENO1	0.1508	0.0285	0.3529	2e-4	Up/Up
Q7L3B6	CDC37L1	0.3902	0.0285	0.2911	0.0073	Up/Up
P24863	CCNC	-0.6797	0.0286	0.1867	0.0251	Up transcriptome/Down proteome
Q9UPN9	TRIM33	-1.0472	0.0288	0.4643	0	Up transcriptome/Down proteome
P36269	GGT5	-0.4474	0.0289	-0.6301	2e-4	Down/Down
P57081	WDR4	0.5027	0.029	0.9178	0	Up/Up
Q9H8M2	BRD9	0.507	0.0292	0.3056	0.0017	Up/Up
Q4J6C6	PREPL	-1.2073	0.0292	-0.6174	0	Down/Down
Q71UM5	RPS27L	-0.3317	0.0292	-0.8146	0	Down/Down
O43813	LANCL1	-0.2155	0.0294	-1.0305	0	Down/Down
Q86W92	PPFIBP1	-0.1264	0.0294	0.3978	0	Up transcriptome/Down proteome
Q9UHL4	DPP7	0.4291	0.0294	0.5272	0	Up/Up
Q9NSI2	SLX9	0.2884	0.0295	0.9804	0	Up/Up
P10828	THRB	0.8009	0.0295	1.1654	0	Up/Up
Q9GZN1	ACTR6	-0.8195	0.0295	-1.3464	0	Down/Down
Q9GZT6	CCDC90B	0.5146	0.0296	-0.4272	0.0056	Down transcriptome/Up proteome
Q96AY3	FKBP10	0.3042	0.0296	0.3379	0	Up/Up
Q96EK4	THAP11	-0.4949	0.0298	-0.3742	1e-4	Down/Down
Q1KMD3	HNRNPUL2	0.1766	0.0299	0.3957	0	Up/Up
P62993	GRB2	-0.2623	0.0305	0.4059	6e-4	Up transcriptome/Down proteome
O43688	PLPP2	2.6062	0.0306	0.288	0.0035	Up/Up
Q16706	MAN2A1	-0.3996	0.0307	-0.5246	0	Down/Down
P19883	FST	1.585	0.0307	0.6419	0	Up/Up
Q92997	DVL3	0.4155	0.0308	0.6522	0	Up/Up
O95619	YEATS4	-0.6408	0.031	-0.8157	0	Down/Down
Q8NCM8	DYNC2H1	-0.4885	0.0311	-0.761	0.0345	Down/Down
Q86UP3	ZFHX4	0.7632	0.0311	1.1186	1e-4	Up/Up
Q13309	SKP2	0.8852	0.0313	0.3076	0.0087	Up/Up
Q96G25	MED8	0.3928	0.0314	0.3442	0.0013	Up/Up
Q9NVR0	KLHL11	0.3539	0.0315	0.8258	0.0247	Up/Up
Q9Y2C2	UST	-2.8373	0.0316	-1.3437	0	Down/Down
Q6PCB7	SLC27A1	-0.9623	0.0318	-0.635	3e-4	Down/Down
P48739	PITPNB	0.1374	0.032	0.6189	0	Up/Up
Q9NSP4	CENPM	-1.6722	0.0321	0.4071	0.0073	Up transcriptome/Down proteome
Q9NQX3	GPHN	0.231	0.0321	0.4356	3e-4	Up/Up
Q9NXE4	SMPD4	-0.2721	0.0321	0.6521	0	Up transcriptome/Down proteome
P21953	BCKDHB	0.3829	0.0321	-0.4179	0.0114	Down transcriptome/Up proteome
Q9UPU9	SAMD4A	-0.2527	0.0322	0.7865	0	Up transcriptome/Down proteome
P04439	HLA-A	0.361	0.0323	0.2192	0.0017	Up/Up
Q9H6E5	TUT1	-0.6809	0.0324	0.346	0.0042	Up transcriptome/Down proteome
O76003	GLRX3	0.1482	0.0324	0.3612	0	Up/Up
Q9NVV5	AIG1	0.5459	0.0324	-0.6492	0	Down transcriptome/Up proteome
Q658Y4	FAM91A1	0.3707	0.0325	0.3077	9e-4	Up/Up
Q9P0U4	CXXC1	-1.1927	0.0325	0.5801	0	Up transcriptome/Down proteome
Q03252	LMNB2	-0.3362	0.0326	0.622	0	Up transcriptome/Down proteome
Q15633	TARBP2	0.3346	0.0327	0.2967	0.0455	Up/Up
Q02878	RPL6	-0.1755	0.0327	-0.8509	0	Down/Down
Q92966	SNAPC3	-0.5358	0.0328	-0.2448	0.0206	Down/Down
Q8WV44	TRIM41	-0.7959	0.0328	-0.276	0.0021	Down/Down
Q9H3H3	C11orf68	0.4133	0.0328	0.2617	0.0033	Up/Up
Q8IVS2	MCAT	-0.3838	0.0329	0.3275	0.0032	Up transcriptome/Down proteome
Q9HCH5	SYTL2	0.329	0.0331	0.622	0	Up/Up
O95573	ACSL3	-0.1757	0.0331	-0.8519	0	Down/Down
Q9H792	PEAK1	-0.6734	0.0335	-0.5307	0.0223	Down/Down
Q5JVS0	HABP4	-1.2252	0.0335	-0.4765	0.0023	Down/Down
Q8NBS9	TXNDC5	-0.2149	0.0335	0.1863	5e-4	Up transcriptome/Down proteome
P78318	IGBP1	0.7303	0.0338	-0.4793	0	Down transcriptome/Up proteome
P53992	SEC24C	0.173	0.0339	0.295	0	Up/Up
Q12765	SCRN1	0.2487	0.034	-0.3716	0	Down transcriptome/Up proteome
P17174	GOT1	-0.1278	0.0345	-0.3321	0.0048	Down/Down
O94875	SORBS2	-0.4381	0.0346	-0.7827	0.0053	Down/Down
Q02880	TOP2B	-0.6591	0.0347	-0.489	0	Down/Down
O43379	WDR62	-1.1322	0.0347	0.7216	0	Up transcriptome/Down proteome
O00499	BIN1	0.7878	0.0347	1.071	0	Up/Up
Q8WTV0	SCARB1	-0.3617	0.0348	-0.5258	0	Down/Down
O43823	AKAP8	-0.493	0.0349	0.4827	0.0053	Up transcriptome/Down proteome
P11172	UMPS	-0.1683	0.035	0.7	0	Up transcriptome/Down proteome
P35579	MYH9	0.1285	0.0351	1.1153	0	Up/Up
Q16787	LAMA3	0.3073	0.0352	0.8965	0	Up/Up
P56545	CTBP2	-0.2116	0.0353	0.1327	0.0111	Up transcriptome/Down proteome
O00400	SLC33A1	0.3801	0.0354	0.2353	0.0188	Up/Up
